matname,bandgap,totd,fom
mp-1020622_SrZrO3,5.1049999999999995,539.1711851166667,2752.4689000205835
mp-557072_Ba3TiNb4O15,3.6619,522.0715275566666,1911.7737267597577
mp-1079416_ZrTi(PbO3)2,2.7803999999999998,554.0047316966667,1540.3547560094119
mp-779517_Sr3Hf2O7,5.5725,267.4114380733334,1490.1502386636503
mp-3671_NaNbO3,3.7125000000000004,382.85640864666675,1421.3544171007504
mp-1187189_TaAgO3,3.0861000000000005,388.83122841999995,1199.972054026962
mp-20940_TiCdO3,3.3671999999999995,297.27209695,1000.9746048500398
mp-778795_Ta2Zn4O9,4.6568,195.72107567333333,911.4339051955786
mp-1079940_Sr3CaO4,5.4306,137.55513541,747.0069183575459
mp-642363_Al2O3,6.872999999999999,101.71541189666668,699.09002596579
mp-5052_TiCdO3,3.1643000000000003,193.22799621333334,611.4313484178508
mp-3211899_Ta4Cd3HgO14,2.9642,176.18404118666663,522.2447348855172
mp-2383052_WO3,1.5559,332.2704137,516.97953667583
mp-1068742_SrZrO3,5.1190999999999995,100.59587643666667,514.9603510669403
mp-556003_CaTiO3,3.1995999999999998,159.22115780333334,509.4440165075453
mp-1215328_ZrTi2(PbO3)3,3.5020000000000002,139.13497355333334,487.2506773837734
mp-1008677_TiO2,1.5365000000000002,313.30503002999995,481.393178641095
mp-1216039_Zr2Ti3(PbO3)5,3.1638000000000006,150.77510345333334,477.02227230565614
mp-1215309_ZrTi(PbO3)2,3.6565000000000003,130.22938108333332,476.18373193120834
mp-1079056_ZrTi(PbO3)2,3.4410999999999996,135.22360104,465.31793353874394
mp-1224603_Hf3Ti2(PbO3)5,3.6477,125.36131450666664,457.2804669259679
mp-1188528_NaNbO3,3.6258,121.12488871333333,439.174621496804
mp-3210467_SrTa4Cd3O14,3.854,111.59163245666666,430.07415148799333
mp-3206064_Ta2CdPbO7,3.3802,126.45507592333333,427.4434476360513
mp-5373_Y2Ti2O7,3.9667,104.95506169000002,416.3252432057231
mp-3205975_Ta2HgPbO7,3.0244000000000004,127.05780792,384.27363427324804
mp-3216088_CaTa4Cd3O14,4.0569999999999995,91.80514909,372.45348985812996
mp-559052_LiNb3(Bi2O7)2,3.6829,100.70343501,370.880680798329
mp-550908_SrHfO3,5.6324,65.13312251666667,366.85579926287335
mp-39712_NaCaTaTiO6,3.6502,96.78462485333334,353.2832376396374
mp-10429_LaYO3,6.5363,53.64766615,350.65724025624496
