matname,bandgap,totd,fom
mp-1018031_KInO2,4.4089,9.22851,40.687577739
mp-1019558_BaSr2Mg(SiO4)2,7.8596,18.088175,142.16582023
mp-1020633_RbMgBO3,8.3158,6.1954400000000005,51.520039952
mp-10299_Ca4PdO6,3.7962,17.142454666666666,65.0761864056
mp-10392_Sr3CdPtO6,4.0519,13.509570333333334,54.73942803363334
mp-10417_KSbO2,3.6699,9.938729666666665,36.4741440037
mp-10418_RbSbO2,4.0262,9.546939,38.4378858018
mp-10461_NaSr3SbO6,5.7547999999999995,12.522673,72.06547858039998
mp-10547_RbAuO,3.4571000000000005,7.004079999999999,24.213804968
mp-1078295_NaNbO3,6.092499999999999,14.338665666666666,87.35832057416665
mp-1078409_Ba2LaBiO6,3.5502,23.668200666666667,84.0268460068
mp-1078539_Sr2MgMoO6,3.5877999999999997,24.382622,87.4799712116
mp-1079050_LaAsO3,4.1139,30.41381966666667,125.1194127267
mp-10814_SrLiBO3,7.8826,8.752029,68.9887437954
mp-10942_KNaLaNbO5,6.0362,13.842411666666669,83.55556530233335
mp-1095378_AsAuO4,4.2709,6.270492999999999,26.780648553699997
mp-1095520_KPd2O3,1.6165,8.817134333333334,14.252897649833335
mp-1096838_Ba(AgO)2,3.1586,17.092499,53.9883673414
mp-1096933_CsAgO2,3.5287,7.429685666666667,26.21713181196667
mp-11019_GaCuO2,2.6372,9.659814333333333,25.474862359866666
mp-11020_GaAgO2,2.0340000000000007,11.25255,22.887686700000007
mp-11022_ScAgO2,3.6181,12.935125,46.800575762499996
mp-1102943_Ba2Cd(BO3)2,5.980300000000001,12.097737,72.34809658110001
mp-1104307_La3SbO3,1.2150999999999996,29.478932333333333,35.81985067823332
mp-1104363_K3ScV2O8,5.3817,15.595437666666667,83.92996689070002
mp-1104930_KLaTiO4,4.1693,25.100875666666667,104.65308091703334
mp-1105143_NaIn(GeO3)2,4.9707,9.230326666666668,45.88118476200001
mp-1105217_BaLa2PdO5,4.2894,28.53018233333334,122.37736410060002
mp-1105233_Ba(AsO3)2,5.7362,12.223667999999998,70.1174043816
mp-1105247_Sr2CaWO6,5.0184,20.575941,103.2583023144
mp-1105495_BaHf(BO3)2,7.7828,12.013058666666666,93.49523299093333
mp-1106089_Ba2InGaO5,3.5417000000000005,18.096693333333334,64.09305877866667
mp-1106218_Sr2ScSbO6,6.0280000000000005,19.919067666666667,120.07213989466668
mp-1143_Al2O3,9.3329,10.133976666666667,94.57939083233335
mp-11715_MgSn(BO3)2,6.9908,8.488299666666668,59.34000530973334
mp-1178391_CsLiWO4,8.3385,6.080350333333333,50.70100125449999
mp-1178405_Cs2HfO3,6.5732,13.134457333333335,86.33541494346667
mp-1178449_CsLaO2,4.8801000000000005,21.062415333333334,102.78669306820001
mp-1178450_Cs6Ge2O7,5.9444,10.949862000000001,65.0903596728
mp-1178815_VAgO3,2.673,10.375729,27.734323617
mp-1182298_BaNaSc(BO3)2,7.0066,11.361687666666667,79.60680080526666
mp-1186878_Ta2Mo2O11,4.2488,24.907422666666662,105.82665742613331
mp-1189102_Sr2LaSbO6,6.0664,18.09501266666667,109.77158484106668
mp-1189528_Ca2ScSbO6,6.1238,18.728353666666667,114.68869218393334
mp-1190024_Ba3NaSbO6,5.3456,13.770069999999999,73.609286192
mp-1190108_Sr2TaInO6,6.1138,21.037383000000002,128.61835218540003
mp-1190151_Sr3LiSbO6,5.9508,14.762919666666667,87.8511823524
mp-1190195_LiIn(WO4)2,4.779,15.063481666666666,71.988378885
mp-1190427_LaSbO4,5.490599999999999,15.852753666666667,87.04112928219998
mp-1190486_Sr3LiTaO6,6.052700000000001,20.356598666666667,123.21238474973335
mp-1190545_Ba2MgGe2O7,6.6364,8.747824000000001,58.05405919360001
mp-1190588_Ba2Cd(BO2)6,7.7145,7.6173926666666665,58.764375727
mp-1190949_Ba2ZnGe2O7,5.9972,9.112896,54.6518598912
mp-1191085_LiY(WO4)2,5.3487,31.45661233333333,168.2519823873
mp-1191101_KMgBO3,8.4485,6.073458,51.31160991299999
mp-1191141_SrLi2SiO4,8.0002,8.320443666666666,66.56521342206666
mp-1191189_Cd2Sb2O7,2.3010000000000006,14.138669,32.53307736900001
mp-1191240_Sr2ZnSi2O7,7.3807,8.450609333333334,62.371412306533344
mp-1191513_Na3Sc(BO3)2,7.1157,11.194415333333334,79.65610118740001
mp-1191636_CsCdBO3,4.7649,9.284622,44.2402953678
mp-1192129_Tl3V5O14,2.7922,24.123907,67.35877312539999
mp-1192417_BaGePbO4,5.2726999999999995,15.219122666666669,80.24586808453334
mp-1192743_SrGePbO4,5.2884,18.51461,97.91266352400001
mp-1192933_CsAlSiO4,8.4674,7.182189,60.8144671386
mp-1193109_NaCaAsO4,7.345,6.613302666666666,48.57470808666666
mp-1193166_Ba4Nb2O9,5.739999999999999,17.42450666666667,100.01666826666667
mp-1194160_BaHf(SiO3)3,8.0793,8.775562666666668,70.9004034528
mp-1205823_Ba2ScTaO6,4.7564,38.53422,183.284164008
mp-1205825_Ba2MgMoO6,3.4384000000000006,22.703516999999994,78.0637728528
